,trait.name,T,trait,ref,trait2,trait2.name
1,pEA,5,0,Delatte_etal_2009_JMedEnto,NA,NA
1,pEA,10,0,Delatte_etal_2009_JMedEnto,NA,NA
1,pEA,15,0.363636364,Delatte_etal_2009_JMedEnto,NA,NA
1,pEA,20,0.476923077,Delatte_etal_2009_JMedEnto,NA,NA
1,pEA,25,0.469230769,Delatte_etal_2009_JMedEnto,NA,NA
1,pEA,30,0.385714286,Delatte_etal_2009_JMedEnto,NA,NA
1,pEA,35,0.015789474,Delatte_etal_2009_JMedEnto,NA,NA
1,pEA,40,0,Delatte_etal_2009_JMedEnto,NA,NA
1,pEA,22,0.880885312,Westbrook_Thesis_2010,NA,NA
1,pEA,27,0.984909457,Westbrook_Thesis_2010,NA,NA
1,pEA,32,0.89416499,Westbrook_Thesis_2010,NA,NA
1,pEA,22,0.908119658,Westbrook_Thesis_2010,NA,NA
1,pEA,27,0.935897436,Westbrook_Thesis_2010,NA,NA
1,pEA,32,0.819444444,Westbrook_Thesis_2010,NA,NA
1,pEA,25,0.891891892,Witwatana_Kittayaong_2006_Med&VetEnt,NA,NA
1,pEA,37,0.298327759,Witwatana_Kittayaong_2006_Med&VetEnt,NA,NA
1,pEA,15,0.625,Teng_Apperson_2000_JMedEnto,NA,NA
1,pEA,23,0.712264151,Teng_Apperson_2000_JMedEnto,NA,NA
1,pEA,31,0.804245283,Teng_Apperson_2000_JMedEnto,NA,NA
1,pEA,20,0.826839443,Muturi_et_al_2011_JMedEnto,NA,NA
1,pEA,25,0.994069568,Muturi_et_al_2011_JMedEnto,NA,NA
1,pEA,30,0.874589509,Muturi_et_al_2011_JMedEnto,NA,NA
1,pEA,20,0.73096605,Muturi_et_al_2011_JMedEnto,NA,NA
1,pEA,25,0.70858103,Muturi_et_al_2011_JMedEnto,NA,NA
1,pEA,30,0.539920058,Muturi_et_al_2011_JMedEnto,NA,NA
1,MDR,22,0.048077455,Alto_et_al_2001b_JMedEnto,NA,NA
1,MDR,26,0.054535139,Alto_et_al_2001b_JMedEnto,NA,NA
1,MDR,30,0.058846719,Alto_et_al_2001b_JMedEnto,NA,NA
1,MDR,18,0.040816327,Westbrook_et_al_2010_VecBorn&ZooDis,NA,NA
1,MDR,24,0.090909091,Westbrook_et_al_2010_VecBorn&ZooDis,NA,NA
1,MDR,32,0.111111111,Westbrook_et_al_2010_VecBorn&ZooDis,NA,NA
1,MDR,25,0.094382022,Witwatana_Kittayaong_2006_Med&VetEnt,NA,NA
