trait.name,T,trait,ref,trait2,trait2.name
MDR,15,0.018073378,Reuda_etal_1990,,
MDR,20,0.080450523,Reuda_etal_1990,,
MDR,25,0.085324232,Reuda_etal_1990,,
MDR,27,0.157232704,Reuda_etal_1990,,
MDR,30,0.145772595,Reuda_etal_1990,,
MDR,34,0.162601626,Reuda_etal_1990,,
pEA,15,0.311,Reuda_etal_1990,,
pEA,20,0.918,Reuda_etal_1990,,
pEA,25,0.6258,Reuda_etal_1990,,
pEA,27,0.8976,Reuda_etal_1990,,
pEA,30,0.6634,Reuda_etal_1990,,
pEA,34,0.5914,Reuda_etal_1990,,
MDR,20,0.065402224,Kamimura_etal_2002,,
MDR,25,0.097751711,Kamimura_etal_2002,,
MDR,30,0.12195122,Kamimura_etal_2002,,
MDR,20,0.060240964,Kamimura_etal_2002,,
MDR,25,0.096339114,Kamimura_etal_2002,,
MDR,30,0.12180268,Kamimura_etal_2002,,
MDR,20,0.067430883,Kamimura_etal_2002,,
MDR,25,0.098231827,Kamimura_etal_2002,,
MDR,30,0.134589502,Kamimura_etal_2002,,
MDR,20,0.062150404,Kamimura_etal_2002,,
MDR,25,0.092850511,Kamimura_etal_2002,,
MDR,30,0.128040973,Kamimura_etal_2002,,
MDR,20,0.072150072,Kamimura_etal_2002,,
MDR,25,0.08650519,Kamimura_etal_2002,,
MDR,30,0.133333333,Kamimura_etal_2002,,
MDR,20,0.064267352,Kamimura_etal_2002,,
MDR,25,0.084674005,Kamimura_etal_2002,,
MDR,30,0.133333333,Kamimura_etal_2002,,
pEA,20,0.56,Kamimura_etal_2002,,
pEA,25,0.2,Kamimura_etal_2002,,
pEA,30,0.4,Kamimura_etal_2002,,
pEA,20,0.54,Kamimura_etal_2002,,
pEA,25,0.82,Kamimura_etal_2002,,
pEA,30,0.86,Kamimura_etal_2002,,
pEA,20,0.7,Kamimura_etal_2002,,
pEA,25,0.86,Kamimura_etal_2002,,
pEA,30,1,Kamimura_etal_2002,,
MDR,10,NA,Tun-Lin_etal_2000,,
MDR,15,0.025188917,Tun-Lin_etal_2000,,
MDR,20,0.072992701,Tun-Lin_etal_2000,,
MDR,25,0.103092784,Tun-Lin_etal_2000,,
MDR,30,0.119047619,Tun-Lin_etal_2000,,
MDR,35,0.138888889,Tun-Lin_etal_2000,,
MDR,40,NA,Tun-Lin_etal_2000,,
pEA,10,0,Tun-Lin_etal_2000,,
pEA,15,0.235,Tun-Lin_etal_2000,,
pEA,20,0.9,Tun-Lin_etal_2000,,
pEA,25,0.88,Tun-Lin_etal_2000,,
pEA,27,0.93,Tun-Lin_etal_2000,,
pEA,30,0.88,Tun-Lin_etal_2000,,
pEA,35,0.67,Tun-Lin_etal_2000,,
pEA,40,0,Tun-Lin_etal_2000,,
MDR,21,0.061614295,Couret_etal_2014,,
MDR,24,0.075987842,Couret_etal_2015,,
MDR,27,0.086430424,Couret_etal_2016,,
MDR,30,0.100806452,Couret_etal_2017,,
Infection,9.941437437,0.077666244,Lambrechts_etal_2011,,
Infection,15.00983955,0.600310147,Lambrechts_etal_2011,,
Infection,14.93897755,0.677587988,Lambrechts_etal_2011,,
Infection,14.97764524,0.726771334,Lambrechts_etal_2011,,
Infection,17.95704261,0.567753332,Lambrechts_etal_2011,,
Infection,17.96299813,0.729346303,Lambrechts_etal_2011,,
Infection,17.96774528,0.858152294,Lambrechts_etal_2011,,
Infection,17.97292399,0.998667921,Lambrechts_etal_2011,,
Infection,19.95291691,0.722475883,Lambrechts_etal_2011,,
Infection,19.96318801,1.001165209,Lambrechts_etal_2011,,
Infection,21.98832201,0.949801051,Lambrechts_etal_2011,,
Infection,24.94950759,0.296636429,Lambrechts_etal_2011,,
Infection,24.96357642,0.678370548,Lambrechts_etal_2011,,
Infection,24.93854599,0.999211685,Lambrechts_etal_2011,,
Infection,25.95918315,0.692499791,Lambrechts_etal_2011,,
Infection,25.96746908,0.917324794,Lambrechts_etal_2011,,
Infection,25.97066262,1.003976097,Lambrechts_etal_2011,,
Infection,27.97991524,0.521697351,Lambrechts_etal_2011,,
Infection,27.96075402,1.001789532,Lambrechts_etal_2011,,
Infection,29.94057432,0.720913639,Lambrechts_etal_2011,,
Infection,30.02205267,0.931692834,Lambrechts_etal_2011,,
Infection,30.02455571,0.99960872,Lambrechts_etal_2011,,
Infection,32.01464711,0.997422154,Lambrechts_etal_2011,,
mu,10.54,0.07585,Yang_etal_2009,,
mu,10.76,0.09169,Yang_etal_2009,,
mu,15.3,0.03608,Yang_etal_2009,,
mu,16.52,0.03266,Yang_etal_2009,,
mu,20.05,0.04216,Yang_etal_2009,,
mu,21.79,0.03718,Yang_etal_2009,,
mu,25.64,0.03043,Yang_etal_2009,,
mu,27.64,0.02709,Yang_etal_2009,,
mu,31.33,0.04391,Yang_etal_2009,,
mu,31.65,0.03417,Yang_etal_2009,,
mu,32.55,0.04438,Yang_etal_2009,,
mu,33.41,0.04983,Yang_etal_2009,,
EFD,10.54,0,Yang_etal_2009,,
EFD,10.76,0,Yang_etal_2009,,
EFD,15.3,0.3548,Yang_etal_2009,,
EFD,16.52,1.1208,Yang_etal_2009,,
EFD,20.05,3.3668,Yang_etal_2009,,
EFD,21.79,3.5931,Yang_etal_2009,,
EFD,25.64,6.9847,Yang_etal_2009,,
EFD,27.64,7.5997,Yang_etal_2009,,
EFD,31.33,9.5762,Yang_etal_2009,,
EFD,31.65,7.277,Yang_etal_2009,,
EFD,32.55,11.224,Yang_etal_2009,,
EFD,33.41,7.2745,Yang_etal_2009,,
a,15.3,0.033333333,Yang_etal_2009,,
a,16.52,0.066666667,Yang_etal_2009,,
a,20.05,0.142857143,Yang_etal_2009,,
a,21.79,0.2,Yang_etal_2009,,
a,25.64,0.2,Yang_etal_2009,,
a,27.64,0.166666667,Yang_etal_2009,,
a,31.33,0.2,Yang_etal_2009,,
a,31.65,0.166666667,Yang_etal_2009,,
a,32.55,0.2,Yang_etal_2009,,
a,33.41,0.166666667,Yang_etal_2009,,
mu,10.03084096,0.091246684,Yang_etal_2009,,
